mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2,degree,pair_gene1,pair_gene2
din[c],RC02748,RC02556,P/C,0.508164616176076,,pi[c] + din[c]  <=> hxan[c] + 2dr1p[c] ,h[c] + h2o[c] + dad-2[c]  -> nh4[c] + din[c] ,3,x.pnp_1_met4_lib1,x_adah_1_met4_lib2
dad-2[c],RC02557,RC02556,P/C,0.508164616176076,,pi[c] + dad-2[c]  <=> ade[c] + 2dr1p[c] ,h[c] + h2o[c] + dad-2[c]  -> nh4[c] + din[c] ,4,x.pnp_1_met4_lib1,x_adah_1_met4_lib2
datp[c],RC01137,BIO0004,P/C,0.309397287122737,,atp[c] + dadp[c]  <=> adp[c] + datp[c] ,0.368 atp[c] + 0.368 h2o[c] + 0.325 datp[c] + 0.175 dgtp[c] + 0.175 dctp[c] + 0.325 dttp[c]  -> 0.368 adp[c] + 0.368 h[c] + 0.368 pi[c] + ppi[c] + DNA[c] ,3,x.ndk_1_met4_lib5,x_pole_2_met9_lib1
xmp[c],RC01130,RC01230,P/C,0.239644988901667,,h2o[c] + nad[c] + imp[c]  -> h[c] + nadh[c] + xmp[c] ,atp[c] + nh4[c] + xmp[c]  -> 2 h[c] + amp[c] + ppi[c] + gmp[c] ,6,x.T22D1.3_met4_lib4,x_gmps_1_met13_lib4
xmp[c],RC01130,RC01231,P/C,0.239644988901667,,h2o[c] + nad[c] + imp[c]  -> h[c] + nadh[c] + xmp[c] ,atp[c] + h2o[c] + gln-L[c] + xmp[c]  -> 2 h[c] + amp[c] + ppi[c] + glu-L[c] + gmp[c] ,6,x.T22D1.3_met4_lib4,x_gmps_1_met13_lib4
dgtp[c],RC01857,BIO0004,P/C,0.309397287122737,,atp[c] + dgdp[c]  -> adp[c] + dgtp[c] ,0.368 atp[c] + 0.368 h2o[c] + 0.325 datp[c] + 0.175 dgtp[c] + 0.175 dctp[c] + 0.325 dttp[c]  -> 0.368 adp[c] + 0.368 h[c] + 0.368 pi[c] + ppi[c] + DNA[c] ,3,x.ndk_1_met4_lib5,x_pole_2_met9_lib1
orot[c],RM01868,RC01870,P/C,0.207312397120605,,q[m] + dhor-S[c]  -> qh2[m] + orot[c] ,ppi[c] + orot5p[c]  <=> prpp[c] + orot[c] ,3,x.dhod_1_met4_lib2,x_umps_1_met4_lib4
utp[c],RC00156,BIO0003,P/C,0.322909515508412,,atp[c] + udp[c]  <=> adp[c] + utp[c] ,0.639534 atp[c] + 0.406032 h2o[c] + 0.233503 gtp[c] + 0.228426 ctp[c] + 0.304569 utp[c]  -> 0.406032 adp[c] + 0.406032 h[c] + 0.406032 pi[c] + ppi[c] + RNA[c] ,8,x.ndk_1_met4_lib5,x_rpoa_12_met9_lib3
utp[c],RC00416,BIO0003,P/C,0.230503569066053,,h[c] + utp[c] + acgam1p[c]  <=> ppi[c] + uacgam[c] ,0.639534 atp[c] + 0.406032 h2o[c] + 0.233503 gtp[c] + 0.228426 ctp[c] + 0.304569 utp[c]  -> 0.406032 adp[c] + 0.406032 h[c] + 0.406032 pi[c] + ppi[c] + RNA[c] ,8,x.C36A4.4_met10_lib4,x_rpoa_12_met9_lib3
dctp[c],RC02326,BIO0004,P/C,0.309397287122737,,atp[c] + dcdp[c]  -> adp[c] + dctp[c] ,0.368 atp[c] + 0.368 h2o[c] + 0.325 datp[c] + 0.175 dgtp[c] + 0.175 dctp[c] + 0.325 dttp[c]  -> 0.368 adp[c] + 0.368 h[c] + 0.368 pi[c] + ppi[c] + DNA[c] ,2,x.ndk_1_met4_lib5,x_pole_2_met9_lib1
dttp[c],RC02093,BIO0004,P/C,0.309397287122737,,atp[c] + dtdp[c]  <=> adp[c] + dttp[c] ,0.368 atp[c] + 0.368 h2o[c] + 0.325 datp[c] + 0.175 dgtp[c] + 0.175 dctp[c] + 0.325 dttp[c]  -> 0.368 adp[c] + 0.368 h[c] + 0.368 pi[c] + ppi[c] + DNA[c] ,3,x.ndk_1_met4_lib5,x_pole_2_met9_lib1
msa[m],RM00908,RM01608,P/C,0.217099278516508,,akg[m] + ala-B[m]  <=> glu-L[m] + msa[m] ,nad[m] + 3hpp[m]  -> nadh[m] + h[m] + msa[m] ,4,x.gta_1_met1_lib4,x_hphd_1_met2_lib5
3hpcoa[m],RM03045,RM03158,P/C,0.54181245262112,,h2o[m] + prpncoa[m]  -> 3hpcoa[m] ,h2o[m] + 3hpcoa[m]  -> coa[m] + h[m] + 3hpp[m] ,2,x.ech_6_met13_lib1,x_hach_1_met2_lib3
ipdp[c],RC01121,RC05556,P/C,0.247223549792247,,atp[c] + 5dpmev[c]  -> adp[c] + pi[c] + co2[c] + ipdp[c] ,19 ipdp[c] + frdp[c]  -> 19 ppi[c] + dedoldp[c] ,7,x.Y48B6A.13_met13_lib2,x_T01G1_4_met13_lib5
naglc2p[c],RC05969,RC05970,P/C,0.296269082825675,,dolp[c] + uacgam[c]  -> ump[c] + naglc2p[c] ,uacgam[c] + naglc2p[c]  -> h[c] + udp[c] + chito2pdol[c] ,2,x.algn_7_met13_lib6,x_algn_14_met10_lib4
chito2pdol[c],RC05970,RC05972,P/C,0.433071211458115,,uacgam[c] + naglc2p[c]  -> h[c] + udp[c] + chito2pdol[c] ,chito2pdol[c] + gdpmann[c]  -> h[c] + gdp[c] + mpdol[c] ,2,x.algn_14_met10_lib4,x_algn_1_met10_lib6
