mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2
amp[c],RC01049,RC03652,P/C,0.0582131997004825,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + gln-L[c] + trnagln[c]  -> amp[c] + ppi[c] + glntrna[c] 
amp[c],RC01049,RC03664,P/C,0.0278413359238327,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + trp-L[c] + trnatrp[c]  -> amp[c] + ppi[c] + trptrna[c] 
amp[c],RC01049,RC03660,P/C,0.0383006596055232,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + phe-L[c] + trnaphe[c]  -> amp[c] + ppi[c] + phetrna[c] 
amp[c],RC01049,RC03655,P/C,0.0813596399785526,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + his-L[c] + trnahis[c]  -> amp[c] + ppi[c] + histrna[c] 
amp[c],RC01049,RC03663,P/C,0.0573439656612844,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + thr-L[c] + trnathr[c]  -> amp[c] + ppi[c] + thrtrna[c] 
amp[c],RC01049,RC03658,P/C,0.103388010978713,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + lys-L[c] + trnalys[c]  -> amp[c] + ppi[c] + lystrna[c] 
amp[c],RC01049,RC03038,P/C,0.0171471570664428,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + ala-L[c] + trnaala[c]  -> amp[c] + ppi[c] + alatrna[c] 
amp[c],RC01049,RC03665,P/C,0.0337236250673661,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + trnaval[c] + val-L[c]  -> amp[c] + ppi[c] + valtrna[c] 
amp[c],RC01049,RCC0101,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + fa15p0iso[c]  -> amp[c] + ppi[c] + fa15p0isocoa[c] 
amp[c],RC01049,RCC0102,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + fa17p0iso[c]  -> amp[c] + ppi[c] + fa17p0isocoa[c] 
