	BIGG	CPD	FORMULA	MW
EX00388	hista[e] -->	hista	C5H10N3	112.155
EX02512	cyanala[e] -->	cyanala	C4H5N2O2	113.0955
EX00122	fum[e] -->	fum	C4H2O4	114.0558
EX00429	56dura[e] -->	56dura	C4H6N2O2	114.1034
EX00141	3mob[e] -->	3mob	C5H7O3	115.1073
EX00148	pro-L[e] -->	pro-L	C5H9NO2	115.1311
EX00042	succ[e] -->	succ	C4H4O4	116.0716
EX00719	glyb[e] -->	glyb	C5H11NO2	117.1469
EX00183	val-L[e] -->	val-L	C5H11NO2	117.1469
EX05519	athr-L[e] -->	athr-L	C4H9NO3	119.1191
EX00188	thr-L[e] -->	thr-L	C4H9NO3	119.1191
EX00097	cys-L[e] -->	cys-L	C3H7NO2S	121.1583
EX00253	nac[e] -->	nac	C6H4NO2	122.1026
EX00153	ncam[e] -->	ncam	C6H6N2O	122.1264
EX05332	peamn[e] -->	peamn	C8H12N	122.1898
EX00245	taur[e] -->	taur	C2H7NO3S	125.1463
