,WBID,whole_dataset_geTMM,asel_geTMM,aser_geTMM
17454,WBGene00021730,0.644960935,0.192891382,0.262855984
17455,WBGene00021731,1.277349943,0.537842386,1.714159117
17456,WBGene00021732,2.681007392,1.998406099,5.700950984
17457,WBGene00021733,5.392926924,6.053240511,4.636596962
17458,WBGene00021734,2.231903332,5.675396547,4.647494531
17459,WBGene00021735,2.770280754,1.135456054,2.351428894
17460,WBGene00021736,3.212585625,3.767610521,1.323682136
17461,WBGene00021737,0.169389063,0.887784556,0
17462,WBGene00021738,2.828984746,1.058427911,1.086537734
17463,WBGene00021739,3.281133126,1.50650318,3.145419676
17464,WBGene00021740,4.853332834,7.18710196,8.30700445
17465,WBGene00021741,0.808446035,0.224166804,0.193025479
17466,WBGene00021743,0.771528644,0.573546863,0.68453797
17467,WBGene00021744,0.062115489,0.538464733,0.099636272
17468,WBGene00021745,0.414275206,0.331853448,0.674816362
17469,WBGene00021746,0.041530707,0,0.075290847
17470,WBGene00021747,0.322252123,0.284865808,0.256001844
17471,WBGene00021748,2.946394506,1.344781539,3.284581072
17472,WBGene00021749,1.785118416,1.068280455,0.992055778
17473,WBGene00021750,2.088487928,1.840436797,1.979437322
17474,WBGene00021751,2.15843617,1.56971151,1.876840273
17475,WBGene00021752,2.672438396,1.399607481,1.57163741
17476,WBGene00021753,3.740400706,5.106575578,3.178732893
17477,WBGene00021754,5.177194099,5.040244907,6.669624754
17478,WBGene00021755,0.31225095,0,0.220876694
17479,WBGene00021756,4.321783811,1.694277903,5.250345439
17480,WBGene00021757,3.92493225,4.156945609,4.677096888
17481,WBGene00021758,5.383277958,5.809066367,5.83692778
17482,WBGene00021763,2.338384632,1.500444582,1.319330548
17483,WBGene00021764,3.265802211,2.167843966,2.3032551
17484,WBGene00021765,4.72384224,5.570827014,4.086194167
17485,WBGene00021766,3.248575831,2.816331156,4.301048794
17486,WBGene00021768,2.018481117,2.060559878,1.838407637
17487,WBGene00021771,5.868153059,5.737393408,5.46460865
17488,WBGene00021772,0.285351052,0.273771614,0.077301673
17489,WBGene00021773,0,0,0
17490,WBGene00021774,0.006694537,0,0
17491,WBGene00021776,3.060271208,7.212901221,6.748769368
17492,WBGene00021778,0.391440928,0.250576828,0.409260443
17493,WBGene00021779,1.039101776,1.331738792,0.723760575
17494,WBGene00021780,0.070944233,0,0
17495,WBGene00021781,2.491435259,1.340904291,1.159578126
17496,WBGene00021783,5.335849,5.213742241,5.293437109
17497,WBGene00021784,1.120408674,1.240019987,1.367499988
17498,WBGene00021785,0.320619041,0,0
17499,WBGene00021786,0.339690374,0.27948991,0
17500,WBGene00021787,0.506155236,0.407487852,0.269679558
17501,WBGene00021788,0.193956619,0.749865828,0
17502,WBGene00021789,2.150206136,1.246161697,1.134411714
17503,WBGene00021790,0.084149415,0,0
17504,WBGene00021791,1.738371211,1.842630805,1.158187069
17505,WBGene00021792,0.304095978,0.201774495,0
17506,WBGene00021793,0.219889524,0.264598873,0.199596317
17507,WBGene00021794,0.059088102,0,0.306497758
17508,WBGene00021795,0.769169813,1.051845151,0.656362199
17509,WBGene00021796,1.314764804,0.476299781,0.598461027
17510,WBGene00021797,0.18046543,0,0
17511,WBGene00021798,0.069091935,0.277747461,0
17512,WBGene00021799,2.354896292,1.179120708,6.280253516
17513,WBGene00021800,6.304787635,5.800564395,6.943927723
17514,WBGene00021801,0.444009877,1.479742753,5.941454852
17515,WBGene00021804,1.599737104,1.549458688,0.400399852
17516,WBGene00021805,0.240874446,0,0.355766593
17517,WBGene00021806,0.365505389,0,0.623006869
