rxns,formula,normalized_OFD_exp_resp_simi,normalized_OFD_exp_resp,normalized_OFD_exp_simi,normalized_OFD_exp_only,normalized_OFD_no_data,OFD_exp_resp_simi,OFD_exp_resp,OFD_exp_simi,OFD_exp_only,OFD_no_data,FVA_PFD_exp_resp_simi_1,FVA_PFD_exp_resp_simi_2,FVA_PFD_exp_resp_1,FVA_PFD_exp_resp_2,FVA_PFD_exp_simi_1,FVA_PFD_exp_simi_2,FVA_PFD_exp_only_1,FVA_PFD_exp_only_2,FVA_PFD_no_data_1,FVA_PFD_no_data_2,PFD_bounded_exp_resp_simi,PFD_bounded_exp_resp,PFD_bounded_exp_simi,PFD_bounded_exp_only,PFD_bounded_no_data,FVA_OFD_exp_resp_simi_1,FVA_OFD_exp_resp_simi_2,FVA_OFD_exp_resp_1,FVA_OFD_exp_resp_2,FVA_OFD_exp_simi_1,FVA_OFD_exp_simi_2,FVA_OFD_exp_only_1,FVA_OFD_exp_only_2,FVA_OFD_no_data_1,FVA_OFD_no_data_2,OFD_bounded_exp_resp_simi,OFD_bounded_exp_resp,OFD_bounded_exp_simi,OFD_bounded_exp_only,OFD_bounded_no_data
RCC0134,h2o[c] + 3hbcoa[c]  -> h[c] + coa[c] + S3hb[c] ,0.0085348485640514,0.00573318826736902,0.00873248667818589,0,0,0.00999999999999261,0.00999999999999091,0.00999999999999091,0,0,0,0.0649658688290451,0,0.232692143399463,0,0.182679777653784,0,9.08717550974596,0,668.404171875286,0,0,0,0,0,0,0.0220710781382676,0,0.232692143405519,0,0.182679777643093,0,1.91638138714004,0,10.6485741755285,0,0,0,0,0
RM00258,akg[m] + ala-L[m]  <=> pyr[m] + glu-L[m] ,0.095254659662769,0.0769973966196289,1.01837196322523,3.06881946561687,0.28757641369888,0.111606736719277,0.13430118291736,1.16618782341603,3.35004671067272,0.349058555219358,0.0301407578026318,0.260576758971225,-0.139120074606828,0.497562132529085,-0.172851910721868,2.07104280990289,-8.72521044698839,80.4004119263846,-611.358246591807,1000,1,0,0,0,0,0.0811297022542753,0.157273992705343,-0.139120074600714,0.496795995144607,-0.172851910650889,2.07047168055972,-2.66655562489804,6.05095751731105,-13.40428508068,16.1231726319585,1,0,0,0,0
RM00261,h[m] + glu-L[m]  -> co2[m] + 4abut[m] ,0.00853484856385588,0.00573318826723866,0,0,0,0.00999999999976353,0.00999999999976353,0,0,0,0,0.084950374805069,0,0.263947181078702,0,0.0113354586745002,0,0.0183666605897695,0,305.633920261132,0,0,0,0,0,0,0.0264650583289721,0,0.263947181072002,0,0.0113354586730365,0,0.0183568149656791,0,8.13909224163116,0,0,0,0,0
RM00335,h2o[m] + gtp[m]  -> h[m] + pi[m] + gdp[m] ,0.00853484856385588,0.00573318826723866,0.00873248667808662,0.00916052739146116,0,0.00999999999976353,0.00999999999976353,0.00999999999987722,0.00999999999987722,0,0.00999999999976353,0.56531260586322,0.00999999999976353,2.42249822016569,0.00999999999976353,2.31950864695486,0.00999999999976353,24.2324680259861,0,957.466175245131,1,1,1,1,0,0.00999999999976353,0.131860525711755,0.00999999999976353,2.42249822022758,0.00999999999987722,2.3000769912882,0.00999999999987722,5.998451952835,0,42.0484985412765,1,1,1,1,0
RM00472,accoa[m] + h2o[m] + glx[m]  -> coa[m] + h[m] + mal-L[m] ,0,0,0.399220311487931,0,0,0,0,0.457166814218951,0,0,0,0.122230399514784,0,0.301145881711947,0,1.44464184289584,0,37.449159377454,0,672.702384627329,0,0,0,0,0,0,0.0318031688125191,0,0.301145881705349,0,1.40400150472826,0,3.86518778994211,0,10.6769682443808,0,0,0,0,0
RM00479,icit[m]  <=> succ[m] + glx[m] ,0,0,-0.579910551592285,-3.01989680446237,-0.243595971649083,0,0,-0.664084095358997,-3.29664076681899,-0.295675353995193,-0.143873468983452,0.0551982661047401,-0.350066359647382,0.20236528592503,-1.57527449843762,0.861942802657782,-42.8767611341677,8.22035481288062,-721.678839754976,356.114136022292,0,0,0,0,0,-0.0406822466524569,0.0121271062498345,-0.350066359641131,0.202365285928557,-1.57527449833,0.861942802563252,-4.71724522236849,2.96313597616273,-11.8395568370566,8.4300648886657,0,0,0,0,0
RM00489,h[m] + asp-L[m]  -> co2[m] + ala-B[m] ,0,0,0,0,0,0,0,0,0,0,0,0.0867913688014566,0,0.271677066000882,0,0.0112618902923907,0,0.0183710800506576,0,318.783726267309,0,0,0,0,0,0,0.0190589956090658,0,0.271677065998415,0,0.0112618902908965,0,0.0183708570209858,0,8.07152853349283,0,0,0,0,0
RM00513,atp[m] + cytd[m]  -> h[m] + adp[m] + cmp[m] ,0,0,0,0,0,0,0,0,0,0,0,0.561979272535851,0,2.41916488691741,0,2.30950864692882,0,24.2224680259266,0,1000,0,0,0,0,0,0,0.128527192564778,0,2.41916488689657,0,2.20133191870161,0,4.82823871632542,0,29.9457424594113,0,0,0,0,0
RM00585,pyr[m] + ser-L[m]  <=> ala-L[m] + hpyr[m] ,0,0,0,0,0,0,0,0,0,0,0,0.0201827191393485,0,0.0666120608665078,0,0.16905351556191,0,1.57972617560917,0,146.74487391126,0,0,0,0,0,0,0.00443113943646553,0,0.0666120608659295,0,0.169053515561835,0,0.708041902681023,0,4.63546412603955,0,0,0,0,0
RM00711,acald[m] + h2o[m] + nadp[m]  -> ac[m] + 2 h[m] + nadph[m] ,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,0
